节点A,关系,节点B
视觉-激光深度估计,采用,双目视觉网络
视觉-激光深度估计,实现,补全激光点云盲区
视觉-激光深度估计,提升,环境感知完整性
控制算法,采用,机器学习技术
控制算法,采用,强化学习技术
机器学习技术,包含,分布式模型预测控制(DMPC)
分布式模型预测控制(DMPC),采用,线性回归
分布式模型预测控制(DMPC),采用,非线性回归
分布式模型预测控制(DMPC),实现,预测自身状态
分布式模型预测控制(DMPC),实现,预测邻居状态
分布式模型预测控制(DMPC),实现,优化动作轨迹
分布式模型预测控制(DMPC),实现,同步误差控制在0.1秒内
强化学习技术,包含,多智能体强化学习(MARL)
多智能体强化学习(MARL),以,动作同步度为奖励函数
多智能体强化学习(MARL),以,无碰撞为奖励函数
多智能体强化学习(MARL),以,队形完整为奖励函数
多智能体强化学习(MARL),实现,自主学习最优协同策略
强化学习技术,包含,通信感知强化学习
通信感知强化学习,优化,5G带宽分配
通信感知强化学习,优化,边缘计算带宽分配
通信感知强化学习,实现,低延迟共享状态信息
武术高难度动作与精细操作,采用,深度学习技术
深度学习技术,包含,动作模仿学习(Imitation Learning)
动作模仿学习(Imitation Learning),采用,Transformer
动作模仿学习(Imitation Learning),采用,扩散模型
动作模仿学习(Imitation Learning),学习,人类武术动作视频数据
动作模仿学习(Imitation Learning),生成,基础动作轨迹
基础动作轨迹,包含,劈
基础动作轨迹,包含,砸
基础动作轨迹,包含,挑
基础动作轨迹,包含,舞剑
深度学习技术,包含,端到端运动控制网络
端到端运动控制网络,采用,CNN+LSTM/Transformer
端到端运动控制网络,映射,感知输入至关节力矩指令
感知输入,包含,姿态
感知输入,包含,环境
端到端运动控制网络,实现,动态平衡
AI智能舞台灯光与机械协同控制技术,包含,AI智能舞台灯光控制技术
AI智能舞台灯光与机械协同控制技术,包含,舞台机械协同控制技术
AI智能舞台灯光控制技术,采用,计算机视觉动作识别
AI智能舞台灯光控制技术,采用,强化学习控制算法
AI智能舞台灯光控制技术,采用,毫米级同步控制技术
AI智能舞台灯光控制技术,包含,灯光色温调节技术
AI智能舞台灯光控制技术,包含,灯光亮度调节技术
AI智能舞台灯光控制技术,包含,投射角度控制技术
舞台机械协同控制技术,包含,舞台机械轨迹规划
舞台机械协同控制技术,包含,实时调度与联动技术
AI智能舞台灯光控制技术,依赖,智能灯光控制台
AI智能舞台灯光控制技术,控制,LED舞台灯具
AI智能舞台灯光控制技术,控制,追光灯
AI智能舞台灯光控制技术,控制,染色灯
AI智能舞台灯光控制技术,控制,图案灯
舞台机械协同控制技术,控制,升降舞台
舞台机械协同控制技术,控制,旋转舞台
舞台机械协同控制技术,控制,伸缩机械臂
舞台机械协同控制技术,控制,轨道移动装置
计算机视觉动作识别,依赖,视觉采集相机(高速摄像机)
AI智能舞台灯光与机械协同控制技术,依赖,边缘计算服务器
AI智能舞台灯光与机械协同控制技术,依赖,同步控制工控机
计算机视觉动作识别,分析,演员肢体动作
计算机视觉动作识别,分析,演员位置坐标
计算机视觉动作识别,分析,面部表情
计算机视觉动作识别,分析,群体队形
AI智能舞台灯光与机械协同控制技术,分析,音乐节奏
AI智能舞台灯光与机械协同控制技术,分析,音乐节拍
AI智能舞台灯光与机械协同控制技术,分析,音频频谱
AI智能舞台灯光与机械协同控制技术,识别,节目情绪
节目情绪,包含,激昂
节目情绪,包含,舒缓
节目情绪,包含,喜庆
节目情绪,包含,静谧
AI智能舞台灯光与机械协同控制技术,适配,舞台场景类型
舞台场景类型,包含,歌舞
舞台场景类型,包含,小品
舞台场景类型,包含,魔术
舞台场景类型,包含,戏曲
灯光色温调节技术,输出,色温值(K)
灯光亮度调节技术,输出,亮度百分比
投射角度控制技术,输出,投射角度(水平/俯仰)
AI智能舞台灯光控制技术,输出,光斑大小
舞台机械轨迹规划,输出,机械位移坐标
舞台机械协同控制技术,输出,运动速度
舞台机械协同控制技术,输出,加速度
毫米级同步控制技术,控制,同步延迟(ms)
舞台机械轨迹规划,输出,轨迹路径点
计算机视觉动作识别,采用,人体姿态估计模型
计算机视觉动作识别,采用,动作时序识别模型
AI智能舞台灯光与机械协同控制技术,采用,情绪识别模型
AI智能舞台灯光与机械协同控制技术,采用,音频特征提取模型
强化学习控制算法,包含,强化学习策略网络
舞台机械轨迹规划,采用,轨迹优化算法
AI智能舞台灯光与机械协同控制技术,采用,多目标协同控制算法
AI智能舞台灯光与机械协同控制技术,采用,实时预测模型
毫米级同步控制技术,采用,误差补偿算法
AI智能舞台灯光与机械协同控制技术,应用于,春晚舞台
AI智能舞台灯光与机械协同控制技术,应用于,大型综艺晚会
AI智能舞台灯光与机械协同控制技术,应用于,演唱会
AI智能舞台灯光与机械协同控制技术,适配,歌舞类节目
AI智能舞台灯光与机械协同控制技术,适配,语言类节目
AI智能舞台灯光与机械协同控制技术,适配,杂技类节目
AI智能舞台灯光与机械协同控制技术,应用于,沉浸式舞台
AI智能舞台灯光与机械协同控制技术,考核,响应延迟
AI智能舞台灯光与机械协同控制技术,考核,控制精度
AI智能舞台灯光与机械协同控制技术,考核,同步误差
计算机视觉动作识别,考核,识别准确率
视觉采集相机(高速摄像机),考核,实时帧率
AI智能舞台灯光与机械协同控制技术,考核,系统稳定性
AI智能舞台灯光与机械协同控制技术,考核,抗干扰能力
AI智能舞台灯光控制技术,由,灯光设计师设计
舞台机械协同控制技术,由,机械工程师研发
AI智能舞台灯光与机械协同控制技术,由,AI算法工程师开发
计算机视觉动作识别,由,视觉工程师优化
AI智能舞台灯光与机械协同控制技术,由,现场导演调度
AI智能舞台灯光与机械协同控制技术,适配,演员
AI智能舞台灯光与机械协同控制知识查询系统,包含,基础检索模块
AI智能舞台灯光与机械协同控制知识查询系统,包含,关系查询模块
AI智能舞台灯光与机械协同控制知识查询系统,包含,逻辑推理模块
AI智能舞台灯光与机械协同控制知识查询系统,包含,对比分析模块
AI智能舞台灯光与机械协同控制知识查询系统,包含,可视化展示模块
AI智能舞台灯光与机械协同控制知识查询系统,包含,数据管理模块
基础检索模块,实现,按关键词查询技术、设备、算法
基础检索模块,实现,实体详情展示
基础检索模块,实现,关联知识自动推荐
关系查询模块,实现,查询技术与性能指标的关联
关系查询模块,实现,查询感知输入与控制输出的关联
关系查询模块,实现,查询场景与技术的关联
逻辑推理模块,实现,根据节目情绪推荐灯光与机械方案
逻辑推理模块,实现,根据设备型号匹配控制精度
逻辑推理模块,实现,根据延迟要求筛选适用算法
对比分析模块,实现,不同控制技术精度对比
对比分析模块,实现,传统控制与AI智能控制对比
对比分析模块,实现,不同节目场景控制策略对比
可视化展示模块,实现,知识图谱可视化(节点+关系)
可视化展示模块,实现,控制流程时序图展示
可视化展示模块,实现,灯光-机械协同示意图展示
数据管理模块,实现,知识录入、编辑、审核
数据管理模块,实现,实体关系更新
数据管理模块,实现,案例库扩充
AI+XR/AR虚实融合舞台呈现技术,包含,AI+XR虚实融合技术
AI+XR/AR虚实融合舞台呈现技术,包含,AI+AR增强现实呈现技术
AI+XR虚实融合技术,基于,XR扩展现实技术(VR/AR/MR)
AI+XR/AR虚实融合舞台呈现技术,包含,数字孪生舞台技术
AI+XR/AR虚实融合舞台呈现技术,包含,生成式AI虚拟场景构建(AIGC)
AI+XR/AR虚实融合舞台呈现技术,包含,实时空间定位与跟踪技术
AI+XR/AR虚实融合舞台呈现技术,包含,三维实时渲染技术
AI+XR/AR虚实融合舞台呈现技术,包含,摄像机追踪与同步技术
AI+XR/AR虚实融合舞台呈现技术,包含,数字分身/虚拟人技术
AI+XR/AR虚实融合舞台呈现技术,包含,全息投影与半透明叠加技术
AI+XR/AR虚实融合舞台呈现技术,包含,多机位虚实合成技术
AI+XR/AR虚实融合舞台呈现技术,包含,光影实时匹配技术
AI+XR/AR虚实融合舞台呈现技术,包含,语义SLAM空间理解技术
AI+XR/AR虚实融合舞台呈现技术,包含,NeRF神经辐射场场景建模
AI+XR虚实融合技术,依赖,XR沉浸式LED屏(环形/立方体/天幕)
数字分身/虚拟人技术,依赖,高速光学动捕相机
实时空间定位与跟踪技术,依赖,深度相机(RGBD)
实时空间定位与跟踪技术,依赖,惯性测量单元(IMU)
三维实时渲染技术,依赖,实时渲染服务器集群
多机位虚实合成技术,依赖,4K/8K超高清摄像机
摄像机追踪与同步技术,依赖,跟踪云台与运动控制(MoCo)
全息投影与半透明叠加技术,依赖,全息纱幕/幻影成像膜
AI+XR/AR虚实融合舞台呈现技术,搭配,空间音频系统(杜比全景声)
AI+XR/AR虚实融合舞台呈现技术,包含,力反馈交互设备
AI+XR/AR虚实融合舞台呈现技术,依赖,边缘计算工控机
多机位虚实合成技术,依赖,绿幕/蓝幕抠像系统
生成式AI虚拟场景构建(AIGC),生成,无限延展虚拟舞台
生成式AI虚拟场景构建(AIGC),生成,地域文化数字场景
数字孪生舞台技术,构建,数字孪生实景模型
生成式AI虚拟场景构建(AIGC),生成,虚拟场景组件
虚拟场景组件,包含,建筑
虚拟场景组件,包含,自然
虚拟场景组件,包含,特效
数字分身/虚拟人技术,构建,数字分身/虚拟演员
生成式AI虚拟场景构建(AIGC),生成,虚拟特效元素
虚拟特效元素,包含,粒子
虚拟特效元素,包含,光效
虚拟特效元素,包含,流体
AI+XR/AR虚实融合舞台呈现技术,依托,3D资产库
3D资产库,包含,人物
3D资产库,包含,道具
3D资产库,包含,场景
生成式AI虚拟场景构建(AIGC),生成,AI生成月令花景/虚拟马群
生成式AI虚拟场景构建(AIGC),生成,丝路虚拟场景(敦煌/波斯/地中海)
高速光学动捕相机,感知,演员肢体动作/位置
AI+XR/AR虚实融合舞台呈现技术,识别,演员道具(实体触发物)
摄像机追踪与同步技术,感知,摄像机机位/运镜轨迹
AI+XR/AR虚实融合舞台呈现技术,分析,音乐节奏/声纹频率
AI+XR/AR虚实融合舞台呈现技术,识别,节目情绪
节目情绪,包含,科技感
AI+XR/AR虚实融合舞台呈现技术,适配,观众视角/沉浸体验
AI+XR/AR虚实融合舞台呈现技术,接收,实时交互指令
实时交互指令,包含,触摸
实时交互指令,包含,位移
实时交互指令,包含,触发
光影实时匹配技术,感知,环境光照/光影参数
三维实时渲染技术,输出,虚拟场景渲染参数
AI+AR增强现实呈现技术,输出,AR叠加层透明度/大小/轨迹
实时空间定位与跟踪技术,输出,空间坐标(6DoF)
三维实时渲染技术,考核,渲染帧率/延迟(ms)
AI+XR/AR虚实融合舞台呈现技术,考核,虚实融合精度(mm)
光影实时匹配技术,考核,光影匹配度
AI+XR/AR虚实融合舞台呈现技术,考核,场景切换速度
AI+XR/AR虚实融合舞台呈现技术,考核,交互响应延迟
数字分身/虚拟人技术,采用,实时姿态估计算法
实时空间定位与跟踪技术,采用,空间定位算法(VIO/SLAM)
生成式AI虚拟场景构建(AIGC),采用,生成式AI大模型(千问/央视听媒体)
三维实时渲染技术,采用,实时渲染优化算法
光影实时匹配技术,采用,光影估计与匹配模型
多机位虚实合成技术,采用,智能遮挡处理算法
数字孪生舞台技术,采用,数字孪生建模算法
数字分身/虚拟人技术,采用,虚拟人驱动模型
AI+XR/AR虚实融合舞台呈现技术,采用,多源数据融合算法
AI+XR/AR虚实融合舞台呈现技术,应用于,2025央视春晚
AI+XR/AR虚实融合舞台呈现技术,应用于,2026央视春晚(主会场/义乌分会场)
AI+XR/AR虚实融合舞台呈现技术,应用于,2026粤港澳大湾区春晚
AI+XR/AR虚实融合舞台呈现技术,应用于,2026浙江春晚
AI+XR/AR虚实融合舞台呈现技术,适配,歌舞类节目
AI+XR/AR虚实融合舞台呈现技术,适配,创意表演/武术类节目
AI+XR/AR虚实融合舞台呈现技术,适配,文化主题类节目
AI+XR/AR虚实融合舞台呈现技术,应用于,沉浸式舞台场景
AI+XR/AR虚实融合舞台呈现技术,实现,一步一景动态场景
三维实时渲染技术,考核,渲染帧率(FPS)
AI+XR/AR虚实融合舞台呈现技术,考核,系统延迟(ms)
实时空间定位与跟踪技术,考核,空间定位精度(mm)
AI+XR/AR虚实融合舞台呈现技术,考核,虚实对齐误差
数字孪生舞台技术,考核,场景还原度
AI+XR/AR虚实融合舞台呈现技术,考核,交互响应速度
三维实时渲染技术,考核,渲染稳定性
AI+XR/AR虚实融合舞台呈现技术,考核,视觉流畅度
2026央视春晚,包含节目,央视《马上有奇迹》
央视《马上有奇迹》,采用,XR万马奔腾技术
2026央视春晚,包含节目,央视《贺花神》
央视《贺花神》,采用,AI月令花景技术
2026央视春晚义乌分会场,包含节目,央视《世界义乌中国年》
央视《世界义乌中国年》,采用,丝路场景技术
2026粤港澳大湾区春晚,包含节目,粤港澳《Give Me That》
粤港澳《Give Me That》,采用,AR未来感元素技术
2026浙江春晚,采用,地域文化数字场景技术
蓉港春晚,包含节目,蓉港春晚《精武·双城》
蓉港春晚《精武·双城》,采用,XR双城联动技术
AI+XR/AR虚实融合舞台呈现技术,由,舞台视觉设计师设计
AI+XR/AR虚实融合舞台呈现技术,由,XR技术工程师研发
AI+XR/AR虚实融合舞台呈现技术,由,AI算法工程师开发
三维实时渲染技术,由,实时渲染师优化
高速光学动捕相机,由,动捕操作员操作
AI+XR/AR虚实融合舞台呈现技术,由,节目导演调度
AI+XR/AR虚实融合舞台呈现技术,由,硬件厂商(七维科技/强氧/洲明)提供设备
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,基础检索模块
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,关系查询模块
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,案例深度解析模块
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,逻辑推理与方案模块
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,可视化展示模块
AI+XR/AR虚实融合舞台呈现知识查询系统,包含,数据管理模块
基础检索模块,实现,关键词检索技术、设备、案例、节目
基础检索模块,实现,实体详情页展示(全属性+关联知识)
基础检索模块,实现,按晚会/技术/设备/案例分类浏览
关系查询模块,实现,查询晚会与XR技术的关联
关系查询模块,实现,查询AI模型与虚拟场景的关联
关系查询模块,实现,查询设备与虚实毫米级对齐的关联
关系查询模块,实现,查询数字孪生与一步一景的关联
关系查询模块,实现,查询地方春晚与XR技术文化表达的关联
案例深度解析模块,实现,单案例全链路拆解(技术→设备→内容→效果)
案例深度解析模块,实现,跨晚会技术对比(央视/粤港澳/浙江)
案例深度解析模块,实现,技术效果还原(原理→步骤→呈现)
逻辑推理与方案模块,实现,根据节目类型推荐XR/AR技术组合
逻辑推理与方案模块,实现,根据效果需求匹配技术与设备
逻辑推理与方案模块,实现,根据文化主题生成虚拟场景设计思路
可视化展示模块,实现,知识图谱可视化(节点-关系动态图)
可视化展示模块,实现,虚实融合技术架构图展示
可视化展示模块,实现,虚实融合技术流程图展示
可视化展示模块,实现,案例效果对比图展示
可视化展示模块,实现,场景分层示意图展示
数据管理模块,实现,知识录入/编辑/审核
数据管理模块,实现,案例扩充、技术更新
数据管理模块,实现,关联关系维护、属性补充
